price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
12800.0,2008.0,lexus,ls460 l,good,6 cylinders,gas,133000.0,clean,automatic,4wd,full-size,sedan,white,az
5995.0,2012.0,fiat,500 pop,good,4 cylinders,gas,120127.0,clean,manual,fwd,full-size,hatchback,green,az
4990.0,2003.0,buick,lesabre,excellent,6 cylinders,gas,62371.0,clean,automatic,fwd,full-size,sedan,white,az
8499.0,2005.0,lexus,rx,good,6 cylinders,gas,146980.0,clean,automatic,4wd,full-size,SUV,blue,az
19990.0,2016.0,mini,hardtop 2 door cooper s,good,6 cylinders,gas,13773.0,clean,other,fwd,full-size,hatchback,white,az
33000.0,2015.0,ford,f-150,excellent,6 cylinders,gas,77000.0,clean,automatic,4wd,full-size,pickup,black,az
18995.0,2013.0,chevrolet,silverado 3500hd,excellent,8 cylinders,gas,118521.0,clean,automatic,rwd,full-size,pickup,white,az
10995.0,2014.0,ram,cargo van,excellent,6 cylinders,gas,103117.0,clean,automatic,fwd,mid-size,sedan,white,az
22590.0,2017.0,ram,1500 regular cab tradesman,good,8 cylinders,gas,39508.0,clean,other,4wd,full-size,pickup,white,az
8995.0,2009.0,honda,accord,excellent,4 cylinders,gas,109000.0,clean,automatic,fwd,full-size,sedan,white,az
7000.0,1989.0,ford,f-150,good,6 cylinders,gas,129800.0,clean,manual,4wd,full-size,truck,white,az
39990.0,2018.0,audi,s5 premium plus sedan 4d,good,6 cylinders,other,44054.0,clean,other,4wd,full-size,sedan,black,az
11999.0,2009.0,infiniti,fx35,excellent,6 cylinders,gas,98360.0,clean,automatic,4wd,full-size,SUV,white,az
10500.0,2007.0,saturn,sky red line,excellent,4 cylinders,gas,8200.0,clean,manual,rwd,compact,convertible,silver,az
11995.0,2016.0,volkswagen,jetta 1.4t s,good,4 cylinders,gas,57514.0,clean,automatic,fwd,full-size,sedan,white,az
7450.0,2011.0,nissan,maxima sv,like new,6 cylinders,gas,118000.0,clean,automatic,fwd,full-size,sedan,red,az
19985.0,2019.0,honda,civic,good,4 cylinders,gas,19051.0,clean,automatic,fwd,mid-size,sedan,silver,az
16594.0,2017.0,hyundai,elantra,good,4 cylinders,gas,38577.0,clean,automatic,fwd,mid-size,sedan,grey,az
31500.0,2001.0,ford,CRANE TRUCK,good,6 cylinders,diesel,87000.0,clean,manual,4wd,full-size,sedan,white,az
50995.0,2016.0,ford,f-250 super duty lariat,good,8 cylinders,other,109646.0,clean,automatic,4wd,full-size,pickup,black,az
28590.0,2019.0,subaru,crosstrek 2.0i limited,good,6 cylinders,gas,4726.0,clean,other,4wd,full-size,hatchback,blue,az
12299.0,2014.0,toyota,corolla,excellent,4 cylinders,gas,96951.0,clean,automatic,fwd,full-size,sedan,white,az
65767.67399166214,2017.0,ferrari,488 gtb,good,8 cylinders,gas,6012.0,clean,automatic,rwd,full-size,coupe,red,az
18999.0,2011.0,chevrolet,avalanche 4x4,excellent,8 cylinders,gas,159280.0,clean,automatic,4wd,full-size,truck,white,az
4500.0,2007.0,bmw,328i,fair,6 cylinders,gas,127000.0,missing,automatic,fwd,full-size,coupe,blue,az
6599.0,2010.0,ford,fusion,good,6 cylinders,gas,113720.0,clean,automatic,4wd,full-size,sedan,white,az
5997.0,2009.0,hyundai,sonata,like new,4 cylinders,gas,120272.0,clean,automatic,fwd,mid-size,sedan,silver,az
46995.0,2013.0,ford,f-350 superduty lariat crew drw,good,8 cylinders,other,103790.0,clean,automatic,4wd,full-size,pickup,brown,az
1750.0,2005.0,chrysler,pt cruiser,good,4 cylinders,gas,93000.0,salvage,automatic,fwd,compact,convertible,purple,az
18959.0,2017.0,chrysler,pacifica,good,6 cylinders,gas,106091.0,clean,automatic,fwd,full-size,van,white,ar
7000.0,2005.0,gmc,sierra,good,6 cylinders,gas,158300.0,clean,automatic,4wd,full-size,sedan,white,ar
18646.0,2017.0,ford,escape,good,6 cylinders,gas,87159.0,clean,automatic,fwd,full-size,sedan,white,ar
4500.0,2008.0,honda,civic coupe ex,excellent,4 cylinders,gas,142000.0,rebuilt,automatic,fwd,mid-size,coupe,black,ar
